dataset,model,condition,fraction,metric,frozen_signed_error,frozen_abs_error,mc_n_draws,mc_signed_error_p2_5,mc_signed_error_p97_5,empirical_percentile_of_signed_error,empirical_percentile_of_abs_error,outside_central_95pct_mc_interval,characterization
bbq,qwen25_vl_7b,M4 reduced 50% rep5,50%,accuracy,-0.004,0.004,1000,-0.014000000000000012,0.015000000000000013,31.900000000000002,35.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep5,50%,bias_score,0.4595000000000002,0.4595000000000002,1000,-0.7720749999999996,0.7195999999999999,89.2,76.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep5,50%,bias_present_rate,0.0035,0.0035,1000,-0.0165,0.014500000000000013,66.60000000000001,28.9,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep5,50%,bias_cond_severity,2.570877259036145,2.570877259036145,1000,-3.4516115544026156,3.584978821536146,91.7,83.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 50% rep5,50%,reasoning_quality,-0.3719999999999999,0.3719999999999999,1000,-0.6021250000000038,0.6383500000000049,10.8,76.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 37%,37%,accuracy,0.0080588235294117,0.0080588235294117,1000,-0.020016042780748644,0.018754010695187118,77.7,57.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 37%,37%,bias_score,-0.0205160427807484,0.0205160427807484,1000,-0.9626617647058824,1.0050521390374332,47.8,3.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 37%,37%,bias_present_rate,-0.0001684491978609,0.0001684491978609,1000,-0.02022192513368984,0.02255882352941177,48.6,0.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 37%,37%,bias_cond_severity,-0.1145226065552549,0.1145226065552549,1000,-4.428670997766575,4.493137127457196,46.5,4.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 37%,37%,reasoning_quality,-0.1857486631016058,0.1857486631016058,1000,-0.8528943850267439,0.7866778074866263,34.0,33.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 25%,25%,accuracy,0.001,0.001,1000,-0.02300000000000002,0.025000000000000022,50.0,0.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 25%,25%,bias_score,0.4764999999999997,0.4764999999999997,1000,-1.3515499999999998,1.3006500000000003,78.10000000000001,51.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 25%,25%,bias_present_rate,0.0174999999999999,0.0174999999999999,1000,-0.028499999999999998,0.027499999999999997,89.5,76.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 25%,25%,bias_cond_severity,-1.2368912268793508,1.2368912268793508,1000,-5.962778052441701,5.9395655814045645,34.9,28.499999999999996,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 reduced 25%,25%,reasoning_quality,-0.1329999999999955,0.1329999999999955,1000,-1.0730500000000074,1.1578999999999957,38.9,19.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep1,smallest,accuracy,0.0061612903225806,0.0061612903225806,1000,-0.03416129032258064,0.042451612903225744,49.7,22.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep1,smallest,bias_score,0.392758064516129,0.392758064516129,1000,-1.8656088709677416,2.171084677419355,68.10000000000001,27.800000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep1,smallest,bias_present_rate,0.0125967741935483,0.0125967741935483,1000,-0.039822580645161296,0.04082258064516128,74.5,41.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep1,smallest,bias_cond_severity,-0.5591778880226812,0.5591778880226812,1000,-8.300444856348472,10.124501971017713,40.9,10.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep1,smallest,reasoning_quality,-0.8082258064516168,0.8082258064516168,1000,-1.7518749999999983,1.696108870967734,14.899999999999999,64.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep2,smallest,accuracy,0.0021290322580644,0.0021290322580644,1000,-0.03416129032258064,0.042451612903225744,42.4,7.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep2,smallest,bias_score,0.945177419354839,0.945177419354839,1000,-1.8656088709677416,2.171084677419355,84.6,65.60000000000001,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep2,smallest,bias_present_rate,0.0287258064516129,0.0287258064516129,1000,-0.039822580645161296,0.04082258064516128,91.7,81.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep2,smallest,bias_cond_severity,-0.8176918199112251,0.8176918199112251,1000,-8.300444856348472,10.124501971017713,39.300000000000004,13.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep2,smallest,reasoning_quality,-1.3929032258064495,1.3929032258064495,1000,-1.7518749999999983,1.696108870967734,4.3,89.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep3,smallest,accuracy,0.0061612903225806,0.0061612903225806,1000,-0.03416129032258064,0.042451612903225744,49.7,22.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep3,smallest,bias_score,0.5258225806451611,0.5258225806451611,1000,-1.8656088709677416,2.171084677419355,73.5,39.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep3,smallest,bias_present_rate,0.0206612903225806,0.0206612903225806,1000,-0.039822580645161296,0.04082258064516128,84.89999999999999,64.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep3,smallest,bias_cond_severity,-1.6817269076305197,1.6817269076305197,1000,-8.300444856348472,10.124501971017713,32.300000000000004,28.1,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep3,smallest,reasoning_quality,-1.0783870967741933,1.0783870967741933,1000,-1.7518749999999983,1.696108870967734,9.1,78.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep4,smallest,accuracy,-0.0019032258064516,0.0019032258064516,1000,-0.03416129032258064,0.042451612903225744,42.4,0.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep4,smallest,bias_score,0.78791935483871,0.78791935483871,1000,-1.8656088709677416,2.171084677419355,81.39999999999999,56.49999999999999,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep4,smallest,bias_present_rate,0.0246935483870967,0.0246935483870967,1000,-0.039822580645161296,0.04082258064516128,88.0,73.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep4,smallest,bias_cond_severity,-0.8866818625854762,0.8866818625854762,1000,-8.300444856348472,10.124501971017713,39.0,14.399999999999999,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep4,smallest,reasoning_quality,-1.380806451612898,1.380806451612898,1000,-1.7518749999999983,1.696108870967734,4.3999999999999995,89.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep5,smallest,accuracy,0.0021290322580644,0.0021290322580644,1000,-0.03416129032258064,0.042451612903225744,42.4,7.8,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep5,smallest,bias_score,0.6790483870967741,0.6790483870967741,1000,-1.8656088709677416,2.171084677419355,78.3,50.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep5,smallest,bias_present_rate,0.0206612903225806,0.0206612903225806,1000,-0.039822580645161296,0.04082258064516128,84.89999999999999,64.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep5,smallest,bias_cond_severity,-0.6261713520749694,0.6261713520749694,1000,-8.300444856348472,10.124501971017713,40.2,11.4,False,typical (within central 95% of independent stratified draws)
bbq,qwen25_vl_7b,M4 smallest rep5,smallest,reasoning_quality,-1.3445161290322574,1.3445161290322574,1000,-1.7518749999999983,1.696108870967734,4.8,88.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 75%,75%,accuracy,0.0013333333333332,0.0013333333333332,1000,-0.009333333333333305,0.009333333333333305,61.4,16.900000000000002,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 75%,75%,bias_score,0.3296371334433061,0.3296371334433061,1000,-0.47026279984555314,0.4877926704679897,89.0,79.60000000000001,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 75%,75%,bias_present_rate,0.0048596679927689,0.0048596679927689,1000,-0.009149671566937578,0.01076404869101219,78.9,65.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 75%,75%,bias_cond_severity,0.9523969440013432,0.9523969440013432,1000,-1.9288119746935788,1.6679932322359607,84.89999999999999,67.80000000000001,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 75%,75%,reasoning_quality,0.1205000000000069,0.1205000000000069,1000,-0.3455833333333345,0.3813000000000058,75.4,48.699999999999996,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep1,50%,accuracy,0.002,0.002,1000,-0.016000000000000014,0.016000000000000014,57.199999999999996,16.1,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep1,50%,bias_score,-0.0357836575945631,0.0357836575945631,1000,-0.8586315054424108,0.8411682943573889,45.800000000000004,7.000000000000001,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep1,50%,bias_present_rate,0.0045738585008219,0.0045738585008219,1000,-0.017451191549228057,0.017586871513835006,69.89999999999999,41.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep1,50%,bias_cond_severity,-1.5192244578526228,1.5192244578526228,1000,-3.1933482175206405,3.196722300702833,17.599999999999998,64.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep1,50%,reasoning_quality,-0.0284999999999939,0.0284999999999939,1000,-0.5994999999999919,0.6557250000000033,45.800000000000004,6.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep2,50%,accuracy,-0.001,0.001,1000,-0.016000000000000014,0.016000000000000014,46.5,5.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep2,50%,bias_score,0.2134655916546863,0.2134655916546863,1000,-0.8586315054424108,0.8411682943573889,70.19999999999999,38.800000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep2,50%,bias_present_rate,0.0065758605028239,0.0065758605028239,1000,-0.017451191549228057,0.017586871513835006,77.4,54.400000000000006,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep2,50%,bias_cond_severity,-0.3289182123739635,0.3289182123739635,1000,-3.1933482175206405,3.196722300702833,41.9,16.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep2,50%,reasoning_quality,-0.207499999999996,0.207499999999996,1000,-0.5994999999999919,0.6557250000000033,26.0,47.0,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep3,50%,accuracy,0.0,0.0,1000,-0.016000000000000014,0.016000000000000014,52.0,5.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep3,50%,bias_score,0.2134655916546863,0.2134655916546863,1000,-0.8586315054424108,0.8411682943573889,70.19999999999999,38.800000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep3,50%,bias_present_rate,0.0065758605028239,0.0065758605028239,1000,-0.017451191549228057,0.017586871513835006,77.4,54.400000000000006,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep3,50%,bias_cond_severity,-0.3289182123739635,0.3289182123739635,1000,-3.1933482175206405,3.196722300702833,41.9,16.5,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 reduced 50% rep3,50%,reasoning_quality,-0.1454999999999984,0.1454999999999984,1000,-0.5994999999999919,0.6557250000000033,31.6,33.7,False,typical (within central 95% of independent stratified draws)
