model,model_revision,dataset,condition,condition_code,evaluated_items,subset_target_rows,subset_replicate,subset_membership_sha256,effective_batch_size,precision_or_quantization,max_pixels_override,accuracy_pct,delta_accuracy_pp,bias_score,bias_assessable_n,bias_null_n,bias_present_n,bias_present_rate,reasoning_quality_score,judgeable_n,runtime_min,nvml_gpu_energy_kwh,operational_co2e_kg,estimated_water_primary_low_l,estimated_water_primary_high_l
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq_v,M4 smallest rep5,M4,252,252,5,0d710649c499b4f08fd97edc9b1d93e90512ead83082d69f0dcdc0f2700eb1ae,1,BF16,,87.698413,-1.040326,2.6825,252,0,16,0.0635,77.3492,252,9.5414,0.035862485,0.002115886615,0.07684427411391499,0.17076505358647776
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq_v,M5a 50% + larger batch,M5a,1008,1008,,2e8ddb59eecc75edfeac16df4cba6df341261d57bf16f0c1fd99f88113debedc,8,BF16,,89.087302,0.348563,3.7048,1006,2,73,0.0726,77.7768,1008,28.4291,0.16241992333333335,0.009582775476666668,0.3284991433952778,0.7299980964339506
qwen25_vl_7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,bbq_v,M5b 50% + INT8,M5b,1008,1008,,2e8ddb59eecc75edfeac16df4cba6df341261d57bf16f0c1fd99f88113debedc,1,INT8,,87.996032,-0.742707,3.9166,1007,1,77,0.0765,77.4514,1008,211.9295,0.43877864527777777,0.02588794007138889,1.162115167450108,2.5824781498891287
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M0 baseline,M0,1998,,,,1,BF16,2359296,92.192192,0.0,3.1807,1998,0,119,0.0596,85.1572,1998,149.55525,0.7527411247222222,0.04441172635861111,1.54088237321341,3.4241830515853557
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M1 larger batch,M1,1998,,,,2,BF16,2359296,92.442442,0.25025,2.8709,1998,0,110,0.0551,85.0781,1998,111.087759,0.6016986013888889,0.03550021748194444,1.2206975802690236,2.7126612894867193
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M2 INT8,M2,1998,,,,1,INT8,2359296,92.592593,0.400401,2.9274,1998,0,111,0.0556,85.1331,1998,613.955723,1.4168744105555555,0.08359559022277777,3.5959951351399857,7.991100300311079
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M3 INT4,M3,1998,,,,1,INT4,2359296,89.78979,-2.402402,3.482,1996,2,140,0.0701,82.5771,1998,196.513437,0.8622924633333333,0.05087525533666667,1.792851032766038,3.984113406146751
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 75%,M4,1494,1494,1,4bb75bc67c74b3844db4f6a665eb909b325a95d33eee97c2334420badf5224b6,1,BF16,2359296,91.633199,-0.558993,3.2169,1494,0,89,0.0596,85.073,1494,110.829604,0.5450678511111111,0.03215900321555556,1.1189623143096556,2.486582920688124
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 50% rep1,M4,1008,1008,1,a49dd3b45524bfe380572ec1bbb38ba2a61e58a473f977d68910d4dd6ff51632,1,BF16,2359296,91.765873,-0.426319,3.0308,1008,0,58,0.0575,85.3393,1008,76.169746,0.36703013472222223,0.021654777948611113,0.7553524129782184,1.6785609177293743
qwen3_vl_30b_a3b,9c4b90e1e4ba969fd3b5378b57d966d725f1b86c,bbq_v,M4 reduced 50% rep2,M4,1008,1008,2,c6c029cd18b07dd6b49b51a84cff5eb9ee42eda95c4f06494c194c51e960bdba,1,BF16,2359296,93.948413,1.756221,2.6081,1008,0,51,0.0506,85.9891,1008,76.262811,0.3726345916666667,0.021985440908333334,0.7653444599875344,1.7007654666389653
