dataset,model,fraction,metric,n_draws,pct_within_0.005,pct_within_0.01,pct_within_0.02,pct_within_0.5,pct_within_1.0,pct_within_2.0,pct_within_0.25
bbq_v,qwen25_vl_7b,smallest,reasoning_quality,1000,,,,27.1,49.2,80.30000000000001,
bbq_v,qwen25_vl_7b,smallest,bias_score,1000,,,,40.8,69.8,,20.599999999999998
bbq_v,qwen25_vl_7b,smallest,bias_present_rate,1000,19.3,36.6,66.5,,,,
bbq_v,qwen3_vl_30b_a3b,75%,accuracy,1000,63.800000000000004,93.7,100.0,,,,
bbq_v,qwen3_vl_30b_a3b,75%,reasoning_quality,1000,,,,94.0,100.0,100.0,
bbq_v,qwen3_vl_30b_a3b,75%,bias_score,1000,,,,97.7,100.0,,78.4
bbq_v,qwen3_vl_30b_a3b,75%,bias_present_rate,1000,70.39999999999999,96.89999999999999,100.0,,,,
bbq_v,qwen3_vl_30b_a3b,50%,accuracy,1000,40.699999999999996,69.3,96.1,,,,
bbq_v,qwen3_vl_30b_a3b,50%,reasoning_quality,1000,,,,72.7,96.89999999999999,100.0,
bbq_v,qwen3_vl_30b_a3b,50%,bias_score,1000,,,,84.89999999999999,99.4,,51.1
bbq_v,qwen3_vl_30b_a3b,50%,bias_present_rate,1000,45.800000000000004,80.0,98.6,,,,
bbq_v,qwen3_vl_30b_a3b,37%,accuracy,1000,29.9,59.199999999999996,90.8,,,,
bbq_v,qwen3_vl_30b_a3b,37%,reasoning_quality,1000,,,,60.199999999999996,91.5,100.0,
bbq_v,qwen3_vl_30b_a3b,37%,bias_score,1000,,,,76.1,98.2,,44.0
bbq_v,qwen3_vl_30b_a3b,37%,bias_present_rate,1000,39.0,69.39999999999999,96.6,,,,
bbq_v,qwen3_vl_30b_a3b,25%,accuracy,1000,24.2,46.6,78.3,,,,
bbq_v,qwen3_vl_30b_a3b,25%,reasoning_quality,1000,,,,49.0,80.60000000000001,98.6,
bbq_v,qwen3_vl_30b_a3b,25%,bias_score,1000,,,,60.4,91.3,,31.900000000000002
bbq_v,qwen3_vl_30b_a3b,25%,bias_present_rate,1000,28.999999999999996,53.400000000000006,87.6,,,,
bbq_v,qwen3_vl_30b_a3b,smallest,accuracy,1000,15.2,29.9,57.9,,,,
bbq_v,qwen3_vl_30b_a3b,smallest,reasoning_quality,1000,,,,33.800000000000004,62.7,93.10000000000001,
bbq_v,qwen3_vl_30b_a3b,smallest,bias_score,1000,,,,42.3,77.10000000000001,,21.3
bbq_v,qwen3_vl_30b_a3b,smallest,bias_present_rate,1000,19.7,39.0,70.1,,,,
