dataset,model,comparison_id,cond_a,cond_b,n_rows_paired,n_clusters,n_rq_paired,n_bias_paired,delta_acc,delta_acc_cluster_ci_lo,delta_acc_cluster_ci_hi,delta_rq,delta_rq_cluster_ci_lo,delta_rq_cluster_ci_hi,delta_bias_score,delta_bias_score_cluster_ci_lo,delta_bias_score_cluster_ci_hi,delta_bias_present_rate,delta_bias_present_rate_cluster_ci_lo,delta_bias_present_rate_cluster_ci_hi,delta_acc_row_ci_lo,delta_acc_row_ci_hi,delta_rq_row_ci_lo,delta_rq_row_ci_hi,delta_bias_score_row_ci_lo,delta_bias_score_row_ci_hi,delta_acc_row_ci_width,delta_acc_cluster_ci_width,delta_acc_ci_width_ratio_cluster_over_row,delta_acc_row_ci_excludes_zero,delta_acc_cluster_ci_excludes_zero,delta_acc_zero_inclusion_changed,delta_rq_row_ci_width,delta_rq_cluster_ci_width,delta_rq_ci_width_ratio_cluster_over_row,delta_rq_row_ci_excludes_zero,delta_rq_cluster_ci_excludes_zero,delta_rq_zero_inclusion_changed,delta_bias_score_row_ci_width,delta_bias_score_cluster_ci_width,delta_bias_score_ci_width_ratio_cluster_over_row,delta_bias_score_row_ci_excludes_zero,delta_bias_score_cluster_ci_excludes_zero,delta_bias_score_zero_inclusion_changed
bbq,qwen25_vl_7b,M1,M1 larger batch,M0 baseline,2000,500,2000,2000,-0.0020000000000000018,-0.0044999999999999485,0.0004999999999999449,0.04200000000000159,-0.17950000000000443,0.2645000000000124,-0.02799999999999958,-0.3200250000000002,0.2699999999999996,-0.004500000000000004,-0.011499999999999996,0.0020000000000000018,-0.004500000000000059,0.0,-0.1769999999999925,0.2635000000000076,-0.3185000000000002,0.2655249999999999,0.004500000000000059,0.004999999999999893,1.111111111111073,False,False,False,0.4405000000000001,0.4440000000000168,1.0079455164586077,False,False,False,0.5840250000000001,0.5900249999999998,1.0102735328110948,False,False,False
bbq,qwen25_vl_7b,M2,M2 INT8,M0 baseline,2000,500,2000,1999,-0.0015000000000000568,-0.006000000000000005,0.0030000000000000027,-0.05150000000000432,-0.38051249999999787,0.2704999999999984,-0.056528264132065686,-0.5015000000000001,0.3942221110555274,0.0025012506253126593,-0.007503751875937978,0.012500000000000011,-0.00649999999999995,0.0030000000000000022,-0.3804999999999978,0.2765124999999985,-0.5112931465732865,0.3891945972986494,0.009499999999999953,0.009000000000000008,0.9473684210526371,False,False,False,0.6570124999999962,0.6510124999999962,0.9908677536576549,False,False,False,0.9004877438719359,0.8957221110555275,0.9947077205116451,False,False,False
bbq,qwen25_vl_7b,M3,M3 INT4,M0 baseline,2000,500,2000,1999,-0.044499999999999984,-0.05500000000000005,-0.03400000000000003,-2.1845,-2.785512499999999,-1.5899874999999897,1.0500250125062527,0.46599332166083063,1.6385079852426216,0.02001000500250126,0.006499999999999978,0.03399999999999999,-0.05499999999999994,-0.03499999999999992,-2.7945249999999997,-1.5744750000000007,0.466733366683342,1.6613431715857931,0.020000000000000018,0.02100000000000002,1.05,True,True,False,1.220049999999999,1.1955250000000093,0.9798983648211224,True,True,False,1.1946098049024512,1.172514663581791,0.981504302718774,True,True,False
bbq,qwen25_vl_7b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1000,250,1000,1000,-0.0020000000000000018,-0.0050000000000000044,0.0,0.0040000000000048885,-0.2909999999999968,0.2980000000000018,0.2730000000000006,-0.24002499999999932,0.7949999999999999,0.0,-0.010000000000000009,0.010000000000000009,-0.0050000000000000044,0.0,-0.3049999999999926,0.3139999999999933,-0.2370000000000001,0.7799999999999994,0.0050000000000000044,0.0050000000000000044,1.0,False,False,False,0.6189999999999859,0.5889999999999986,0.9515347334410534,False,False,False,1.0169999999999995,1.0350249999999992,1.0177236971484758,False,False,False
bbq,qwen25_vl_7b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1000,250,1000,1000,0.0,-0.006000000000000005,0.006000000000000005,-0.10099999999999909,-0.5730000000000075,0.36799999999999533,-0.24399999999999977,-0.8350249999999999,0.34499999999999975,-0.0020000000000000018,-0.016000000000000014,0.01200000000000001,-0.006000000000000005,0.006000000000000005,-0.5909999999999943,0.3840749999999993,-0.8789999999999996,0.3650000000000002,0.01200000000000001,0.01200000000000001,1.0,False,False,False,0.9750749999999936,0.9410000000000028,0.9650539702074292,False,False,False,1.2439999999999998,1.1800249999999997,0.9485731511254019,False,False,False
bbq,qwen3_vl_30b_a3b,M1,M1 larger batch,M0 baseline,2000,500,2000,1999,-0.0004999999999999449,-0.0045000000000000595,0.0040000000000000036,-0.20949999999999136,-0.49599999999999544,0.07502500000000224,-0.0315157578789389,-0.40871174337168537,0.35551335127691536,-0.001000500250125047,-0.009004502251125562,0.007500000000000007,-0.0050000000000000044,0.004000000000000003,-0.5070124999999912,0.0900125000000029,-0.4327163581790891,0.3721860930465235,0.009000000000000008,0.008500000000000063,0.9444444444444506,False,False,False,0.5970249999999941,0.5710249999999977,0.9564507348938541,False,False,False,0.8049024512256127,0.7642250946486007,0.9494629982613754,False,False,False
bbq,qwen3_vl_30b_a3b,M2,M2 INT8,M0 baseline,2000,500,2000,1999,0.0010000000000000009,-0.005499999999999949,0.007500000000000062,-0.285499999999999,-0.6465125000000028,0.09351249999999157,0.1535767883941972,-0.28114408806004587,0.603309199644867,-0.0070035017508754405,-0.016500000000000015,0.002502502502502488,-0.005999999999999894,0.008000000000000007,-0.6655249999999945,0.0980124999999988,-0.3191595797898943,0.6313406703351675,0.013999999999999901,0.013000000000000012,0.9285714285714359,False,False,False,0.7635374999999933,0.7400249999999944,0.9692058346839557,False,False,False,0.9505002501250618,0.8844532877049128,0.9305134718150165,False,False,False
bbq,qwen3_vl_30b_a3b,M3,M3 INT4,M0 baseline,2000,500,2000,1999,-0.04200000000000004,-0.05349999999999999,-0.031000000000000028,-2.1204999999999927,-2.709499999999992,-1.5629625000000027,0.8429214607303654,0.19858679339669816,1.4992558841920958,0.01550775387693848,0.0020030045067601365,0.029014507253626823,-0.052999999999999936,-0.031000000000000028,-2.692025000000007,-1.5499999999999972,0.2456103051525761,1.4522511255627817,0.02199999999999991,0.022499999999999964,1.0227272727272754,True,True,False,1.14202500000001,1.146537499999989,1.003951314550889,True,True,False,1.2066408204102057,1.3006690907953975,1.0779256501145273,True,True,False
bbq,qwen3_vl_30b_a3b,M5a,M5a 50% + larger batch,M4 reduced 50% rep1,1000,250,1000,999,-0.0010000000000000009,-0.006000000000000005,0.0040000000000000036,-0.4339999999999975,-0.8010250000000017,-0.07000000000000703,0.28428428428428454,-0.19899999999999984,0.7880197197197197,-0.003003003003002991,-0.014999999999999986,0.008008008008008022,-0.006000000000000005,0.004000000000000003,-0.8230000000000075,-0.0540000000000016,-0.2092092092092086,0.8118118118118121,0.010000000000000009,0.010000000000000009,1.0,False,False,False,0.7690000000000059,0.7310249999999946,0.9506176853055773,True,True,False,1.0210210210210207,0.9870197197197196,0.9666987254901963,False,False,False
bbq,qwen3_vl_30b_a3b,M5b,M5b 50% + INT8,M4 reduced 50% rep1,1000,250,1000,999,0.0010000000000000009,-0.008000000000000007,0.010000000000000009,-0.3509999999999991,-0.909000000000006,0.23199999999999932,0.18618618618618665,-0.36540623123123195,0.7447697697697695,-0.011011011011011013,-0.02402402402402401,0.0020000000000000018,-0.008000000000000007,0.010000000000000009,-0.9000250000000054,0.2200249999999982,-0.4144644644644646,0.8048298298298295,0.018000000000000016,0.018000000000000016,1.0,False,False,False,1.1200500000000035,1.1410000000000053,1.0187045221195499,False,False,False,1.2192942942942941,1.1101760010010016,0.9105070090101189,False,False,False
