dataset,model,fraction,metric,n_draws,mean_signed_error,sd_signed_error,mae,rmse,median_abs_error,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,signed_error_p2_5,signed_error_p97_5
bbq,qwen25_vl_7b,75%,accuracy,1000,-0.0005173333333333348,0.004360969036788579,0.0035579999999999974,0.0043893811257017384,0.0030000000000000027,0.007000000000000006,0.008333333333333304,0.010333333333333306,0.014333333333333309,-0.008333333333333304,0.008333333333333304
bbq,qwen25_vl_7b,75%,bias_score,1000,0.03142933333333338,0.22643342212764045,0.18452333333333334,0.22849206891171417,0.15700000000000003,0.3742333333333332,0.4418333333333333,0.5627033333333331,0.7305000000000001,-0.40019999999999967,0.46390000000000015
bbq,qwen25_vl_7b,75%,bias_present_rate,1000,0.0007779999999999998,0.0047624056545752,0.0038836666666666668,0.004823184747768958,0.003166666666666665,0.008166666666666655,0.009500000000000008,0.011833333333333335,0.015500000000000014,-0.008499999999999994,0.010166666666666657
bbq,qwen25_vl_7b,75%,bias_cond_severity,1000,0.016257381519882635,1.011802850816264,0.8057471174527114,1.01142748942516,0.6692818020914935,1.6851778542742424,2.0141571635983113,2.5982854143973344,3.3292254733218556,-2.0630642285580096,1.9198310633839701
bbq,qwen25_vl_7b,75%,reasoning_quality,1000,-0.01249733333333461,0.18659776778421863,0.14959200000000009,0.18692268871262152,0.125,0.30846666666667066,0.355033333333337,0.4956733333333315,0.6243333333333396,-0.3570666666666661,0.3497499999999973
bbq,qwen25_vl_7b,50%,accuracy,1000,0.0002260000000000002,0.007561620335754911,0.006028000000000005,0.007561216833288152,0.0050000000000000044,0.01200000000000001,0.014049999999999967,0.019010000000000006,0.027000000000000024,-0.014000000000000012,0.015000000000000013
bbq,qwen25_vl_7b,50%,bias_score,1000,-0.009463999999999965,0.38554732451859064,0.309084,0.38547069927557404,0.2605000000000004,0.6289,0.7407999999999997,0.9734999999999996,1.3644999999999996,-0.7720749999999996,0.7195999999999999
bbq,qwen25_vl_7b,50%,bias_present_rate,1000,-0.0005209999999999979,0.008135277606925393,0.006535000000000002,0.008147883160674312,0.005500000000000005,0.013499999999999998,0.015500000000000014,0.020509999999999994,0.028499999999999998,-0.0165,0.014500000000000013
bbq,qwen25_vl_7b,50%,bias_cond_severity,1000,0.07491234054451416,1.8220660686490133,1.4583161317878162,1.8226948983659899,1.2688519477648477,3.042005861282968,3.5181021947040114,4.611310230669773,6.310160997974201,-3.4516115544026156,3.584978821536146
bbq,qwen25_vl_7b,50%,reasoning_quality,1000,0.00594699999999888,0.3163213324712333,0.2516010000000002,0.3162190585654194,0.21599999999999397,0.5213000000000009,0.6271499999999952,0.8120199999999977,1.0289999999999964,-0.6021250000000038,0.6383500000000049
bbq,qwen25_vl_7b,37%,accuracy,1000,-0.0004959893048128477,0.010041897561298984,0.00798484491978611,0.010049122962501732,0.00664705882352945,0.016080213903743257,0.020016042780748644,0.02543850267379677,0.03345989304812835,-0.020016042780748644,0.018754010695187118
bbq,qwen25_vl_7b,37%,bias_score,1000,0.018080213903743356,0.5195565017232667,0.4175889572192514,0.5196113101725569,0.3473877005347594,0.8444572192513373,1.0006631016042782,1.2751616577540101,1.8805534759358293,-0.9626617647058824,1.0050521390374332
bbq,qwen25_vl_7b,37%,bias_present_rate,1000,0.00037165775401069677,0.011102355593876822,0.008907048128342247,0.011103025124679821,0.00785294117647059,0.01854812834224598,0.02155882352941177,0.026906417112299463,0.03726470588235295,-0.02022192513368984,0.02255882352941177
bbq,qwen25_vl_7b,37%,bias_cond_severity,1000,0.019061873222384538,2.3187698743452434,1.8382984717414819,2.317688588109203,1.5207685959197477,3.81129061701351,4.444678120376241,6.319669177351253,8.202331063383973,-4.428670997766575,4.493137127457196
